SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
101210,Bebek Peking 0.9 - 1.0 kg,1000,1.0,1012100100,1012100100.0,1012100100 - Bebek Peking 0.9 - 1.0 kg,101210,Discontinue,Bebek Peking 0.9 - 1.0 kg,,[''],,
101097,Broccoli Floret Heibei 1kg,1000,1.0,1010970100,1010970100.0,1010970100 - Broccoli Floret Heibei 1kg,101097,Discontinue,Broccoli Floret Heibei 1kg,,[''],,
101167,Cumi Ring,1000,1.0,1011670100,1011670100.0,1011670100 - Cumi Ring,101167,Discontinue,Cumi Ring,u,"['u masakan nusantara untuk masakan indonesia', 'u untuk masakan indonesia', 'u', 'u cocok untuk tumis', 'u ideal untuk steak', 'u cocok untuk tumis untuk masakan indonesia']",u masakan nusantara untuk masakan indonesia . u untuk masakan indonesia . u . u cocok untuk tumis . u ideal untuk steak . u cocok untuk tumis untuk masakan indonesia,u masakan nusantara untuk masakan indonesia|u untuk masakan indonesia|u|u cocok untuk tumis|u ideal untuk steak|u cocok untuk tumis untuk masakan indonesia
101179,Cumi Tube,1000,1.0,1011790100,1011790100.0,1011790100 - Cumi Tube,101179,Discontinue,Cumi Tube,u u,"['u u cocok untuk tumis untuk masakan indonesia', 'u u cocok untuk panggang untuk masakan indonesia', 'u u untuk masakan indonesia', 'u u', 'u u cocok untuk tumis', 'u u cocok untuk panggang']",u u cocok untuk tumis untuk masakan indonesia . u u cocok untuk panggang untuk masakan indonesia . u u untuk masakan indonesia . u u . u u cocok untuk tumis . u u cocok untuk panggang,u u cocok untuk tumis untuk masakan indonesia|u u cocok untuk panggang untuk masakan indonesia|u u untuk masakan indonesia|u u|u u cocok untuk tumis|u u cocok untuk panggang
101255,Ikan Cakalang,1000,1.0,1012550100,1012550100.0,1012550100 - Ikan Cakalang,101255,Discontinue,Ikan Cakalang,,[''],,
101405,Ikan Gurame,1000,1.0,1014050100,1014050100.0,1014050100 - Ikan Gurame,101405,Discontinue,Ikan Gurame,u,"['u cocok untuk panggang', 'u untuk masakan indonesia', 'u', 'u menu rumahan', 'u ideal untuk steak', 'u cocok untuk tumis untuk masakan indonesia']",u cocok untuk panggang . u untuk masakan indonesia . u . u menu rumahan . u ideal untuk steak . u cocok untuk tumis untuk masakan indonesia,u cocok untuk panggang|u untuk masakan indonesia|u|u menu rumahan|u ideal untuk steak|u cocok untuk tumis untuk masakan indonesia
101256,Ikan Kembung Banjar,1000,1.0,1012560100,1012560100.0,1012560100 - Ikan Kembung Banjar,101256,Discontinue,Ikan Kembung Banjar,u,"['u masakan nusantara untuk masakan indonesia', 'u', 'u cocok untuk tumis', 'u ideal untuk steak', 'u cocok untuk grill untuk masakan indonesia', 'u masakan nusantara']",u masakan nusantara untuk masakan indonesia . u . u cocok untuk tumis . u ideal untuk steak . u cocok untuk grill untuk masakan indonesia . u masakan nusantara,u masakan nusantara untuk masakan indonesia|u|u cocok untuk tumis|u ideal untuk steak|u cocok untuk grill untuk masakan indonesia|u masakan nusantara
101257,Ikan Tenggiri Steak,1000,1.0,1012570100,1012570100.0,1012570100 - Ikan Tenggiri Steak,101257,Discontinue,Ikan Tenggiri Steak,s,"['s cocok untuk panggang', 's menu rumahan', 's masakan nusantara', 's cocok untuk tumis', 's untuk masakan indonesia', 's']",s cocok untuk panggang . s menu rumahan . s masakan nusantara . s cocok untuk tumis . s untuk masakan indonesia . s,s cocok untuk panggang|s menu rumahan|s masakan nusantara|s cocok untuk tumis|s untuk masakan indonesia|s
100416,Serbuk Daging,1000,1.0,1004160100,1004160100.0,1004160100 - Serbuk Daging,100416,Discontinue,Serbuk Daging,s u,"['s u ideal untuk steak', 's u menu rumahan', 's u untuk masakan indonesia', 's u', 's u cocok untuk grill', 's u masakan nusantara']",s u ideal untuk steak . s u menu rumahan . s u untuk masakan indonesia . s u . s u cocok untuk grill . s u masakan nusantara,s u ideal untuk steak|s u menu rumahan|s u untuk masakan indonesia|s u|s u cocok untuk grill|s u masakan nusantara
101448,Striploin US Choice Swift,1000,1.0,1014480100,1014480100.0,1014480100 - Striploin US Choice Swift,101448,Discontinue,Striploin US Choice Swift,s us sw,"['s us sw cocok untuk tumis untuk masakan indonesia', 's us sw cocok untuk grill', 's us sw cocok untuk panggang', 's us sw untuk masakan indonesia', 's us sw masakan nusantara', 's us sw']",s us sw cocok untuk tumis untuk masakan indonesia . s us sw cocok untuk grill . s us sw cocok untuk panggang . s us sw untuk masakan indonesia . s us sw masakan nusantara . s us sw,s us sw cocok untuk tumis untuk masakan indonesia|s us sw cocok untuk grill|s us sw cocok untuk panggang|s us sw untuk masakan indonesia|s us sw masakan nusantara|s us sw
