SKU,Nama Barang,SKU GPU
101210,Bebek Peking 0.9 - 1.0 kg,101210
101097,Broccoli Floret Heibei 1kg,101097
101167,Cumi Ring,101167
101179,Cumi Tube,101179
101255,Ikan Cakalang,101255
101405,Ikan Gurame,101405
101256,Ikan Kembung Banjar,101256
101257,Ikan Tenggiri Steak,101257
100416,Serbuk Daging,100416
101448,Striploin US Choice Swift,101448
101756,Saikoro Meltique Saka 250gr,101756
101758,Saikoro Meltique Saka 1000 gr,101758
101759,Saikoro Meltique Saka 500 gr,101759
101760,Tenderloin Meltique Saka 1000 gr,101760
101269,Cumi Flower,101269
101761,Ikan Salmon Fillet Atlantik,101761
101763,Ribeye Meltique Saka 1000 gr,101763
101765,Tenderloin Meltique Saka 200 gr,101765
101766,Tenderloin Meltique Saka 400 gr,101766
101722,Chuck Clod US Prime IOWA,101722
101852,Ribeye Meltique Saka 200 gr,101852
101851,Ribeye Meltique Saka 400 gr,101851
101712,Topside Wagyu MB 8-9 Diamantina,101712
101634,Babat Carnemax,101634
101866,Chicken Steak Meltique,101866
101883,Shortplate Split IOWA,101883
101884,Shortplate Split Nebraska,101884
101888,Meltique Mess Saka 1000 gr,101888
101918,Gooseneck Round Wagyu A5 Japan Miyazaki Gyu,101918
101926,Karubi Plate Wagyu MB8-9 Jack's Creek,101926
101730,Brisket PE Wagyu A5 Japan Satsuma Gyu,101730
102002,McCain Cajun Crispers Skin Off 6x2 kg,102002
101127,Beef Patty Ryou 300 gr,101127
102013,Tenderloin Meltique Steak 1000 gr,102013
102014,Tenderloin Meltique Steak 400 gr,102014
102015,Tenderloin Meltique Steak 200 gr,102015
102010,Striploin Meltique Steak 1000 gr,102010
102011,Striploin Meltique Steak 400 gr,102011
102012,Striploin Meltique Steak 200 gr,102012
102016,Ribeye Meltique Steak 1000 gr,102016
102017,Ribeye Meltique Steak 400 gr,102017
102018,Ribeye Meltique Steak 200 gr,102018
102009,Meltique Steak Mix Cut 1000 gr,102009
102032,Knuckle Whole Meltique,102032
102052,Ikan Dory Fillet Premium NBL 1000gr,102052
102053,Ikan Dory Fillet Premium 1000gr,102053
102054,Ikan Tuna Fillet,102054
102055,Ikan Salmon Fillet,102055
102177,Cumi Cendol,102177
102254,Rump Cap MSA Nolan,102254
102263,Rump Cap GFYG Nolan,102263
102271,40 CL MHS,102271
102258,Babat Putih,102258
102257,Chuckrib PPCS,102257
102261,Short Rib Bone In US Select Fourstar,102261
101222,Ikan Gindara Fillet,101222
100289,Ikan Tongkol Deho,100289
101756,Saikoro Meltique Saka 250 gr,101756
102358,Slice Meltique 500 gr,102358
102357,Slice Meltique 250 gr,102357
102496,Saikoro Chicken Meltique 250 gr,102496
102495,Zeitagyu Saikoro Wagyu 500 gr,102495
102494,Zeitagyu Saikoro Wagyu 250 gr,102494
103201,CST Neckbone WT,103201
103200,CST Oxtail WT,103200
103202,CST Shortrib WT,103202
100153, Ayam Boneless Dada,100153
100154, Ayam Boneless Paha,100154
101400, Ayam Ceker S-B Non Kuku,101400
100235, Ayam Fillet Dada,100235
101474, Ayam Karkas,101474
101412," Ayam Karkas 0,6 - 0,7 kg",101412
100829," Ayam Karkas 0,8 - 0,9 kg",100829
100018," Ayam Karkas 0,9 - 1,0 kg",100018
101196," Ayam Karkas 1,1 kg",101196
101493," Ayam Karkas 1,3 - 1,4 kg",101493
101032, Ayam Kulit Body,101032
103012, Ayam Parting Dada,103012
103014, Ayam Parting Paha Atas,103014
103010, Ayam Parting Paha Bawah,103010
103011, Ayam Parting Sayap,103011
101404,P Bawang Bombay,101404
102367, Angus Tomahawk 0.6 Kg,102367
102368, Angus Tomahawk 0.7 Kg,102368
102369, Angus Tomahawk 0.8 Kg,102369
101087, Angus Tomahawk 0.9 kg,101087
101054, Angus Tomahawk 1 kg,101054
101055, Angus Tomahawk 1.1 kg,101055
101056, Angus Tomahawk 1.2 kg,101056
101057, Angus Tomahawk 1.3 kg,101057
101058, Angus Tomahawk 1.4 kg,101058
101059, Angus Tomahawk 1.5 kg,101059
101060, Angus Tomahawk 1.6 kg,101060
101085, Angus Tomahawk 1.7 kg,101085
101317, Angus Tomahawk 1.8 kg,101317
